ESTRUCTURA BDD MEDIOS/PROGRAMAS																	
Datos generales del medio											Datos genericos de contacto1						
NOMBRE	WEB	TIPO DE MEDIO	PERIODICIDAD	ÁMBITO	SECTOR1	SECTOR2	SECTOR3	SECTOR4	SECTOR5	EMPRESA	DESCRIPCIÓN	DIRECCIÓN	CP	PROVINCIA	CIUDAD	TEL. FIJO	TELF. MOBIL
DELUXES.NET		Internet portal temático			Director/a					Deluxes.net							
DESCOBRIR		Revista			Redactor/a					Sàpiens Publicacions				Barcelona	Barcelona		93 3899440
DESNIVEL		Revista			Director /a					Ediciones Desnivel SL.		Calle San Victorino, 8	28025	Madrid	Madrid		91 360 22 64
DESTINATIONS TRAVEL MAGAZINE		Revista profesional			Redactor/a					Destinations Travel Magazine				USA			4097410224
DESTINOS ACTUALES		Revista			Redacción												
DEVINIS.ORG		Internet portal temático			Periodista Blogger					Devinis.org							
DIARI DE GIRONA		Prensa diaria			Redactor/a					Grup Editorial Prensa Ibérica		Passeig General Mendoza 2	17002	Girona	Girona	97 220 20 42	97 220 20 66 
DIARI DE SABADELL		Prensa diaria			Director/a					Diari de Sabadell		Carrer Sant Quirze 37-41	8021	Barcelona	Sabadell		93 726 11 00
DIARI DE SANT CUGAT		Prensa diaria			Redactor/a					Premsa Local Sant Cugat S.L.		Sant Antoni 42	8172	Barcelona	Sant Cugat	93 590 86 00	93 589 62 82 
DIARI DE TERRASSA		Prensa diaria			Redactor/a jefe/a					Diari de Terrassa		Carrer de Vinyals 61	8221	Barcelona	Terrassa		93 728 37 14
DIARIO DE AVISOS		Revista profesional			Director/a					Canaria de Avisos S.A. (CANAVISA)		Calle Salamanca, 5	38006	Santa Cruz de Tenerife	Santa Cruz de Tenerife	 92 227 23 58	92 227 23 50
DIARIO EL DÍA		Prensa diaria			Redactor/a					Editorial Leoncio Rodríguez S.A.							92 223 83 00
DIARIO MÉDICO BCN		Revista			Redactor/a jefe/a					Unidad Editorial Revistas SLU							
DIARIO VASCO		Prensa diaria															
DIARIOCRITICO DE CATALUNYA		Internet portal temático			Director/a					Grupo Diariocrítico							93 217 56 50
DIETÉTICA Y SALUD		Revista			Coordinador /a					CSSL		Gabriel Miró, 7	28031	Barcelona	Barcelona		93 298 68 03
DIEZ MINUTOS		Revista			Estilista					Hearst Magazines S.L.		Avda. Cardenal Herrera Oria, 3	28034	Madrid	Madrid		91 728 89 85
DIEZDRACMAS		Blog															
DIFFUSION SPORT		Revista profesional			Publicidad					Difusión Ediciones, S.L. 		Rosellón, 102 entlo 1ª	8029	Barcelona	Barcelona		933235702
DINASTER		Internet portal temático			Redactor/a					Nycband S.L.		Murillo, 4	28010	Madrid	Madrid		91 447 31 16
DINERO Y SALUD		Revista		28008	C/ Altamirano nº 33, 					DINERO Y SALUD, S.L.							
DINTEL		Revista técnica			Editor/a									Madrid	Madrid		913 113 619
DIR EMOTIONS		Revista			Director /a									Barcelona	Barcelona		93 450 48 18
DIRIGENTES DIGITAL		Internet portal temático			Redactor/a jefe/a					Estructuras Globales Insight, SL		 Yugoslavia 3, local	28916	Madrid	Leganés		91 227 24 46
DISCAPNET.ES		Internet portal temático			Redactor/a									Madrid	Madrid		911210330
DIVENDRES (TV3)		TV			Presentador/a					Televisió de Catalunya, S.A. 		Carrer de Jacint Verdaguer 0	8970	Barcelona	Barcelona		93 499 93 33
DMEDICINA.COM		Internet portal temático			Redactor/a							Avda. San Luis, 25	28033	Madrid	Madrid		
DMODA		Revista			Redactor/a												
DobleModa		Blog															
DOC'S (BTV)		TV			Director/a					Informació i Comunicació de Barcelona S.A. (ICB)		Plaça Tísner 1	8018	Barcelona	Barcelona	93 506 42 00	93 218 46 48 
DOMINICAL (EL PERIODICO)		Suplementos			Redactor/a					Ediciones Primera Plana S.A.		 Consell de Cent 425-427	8009	Barcelona	Barcelona		932 65 53 53
DONES GOURMET		Internet portal temático			Periodista Blogger					Dones Gourmet				Barcelona	Barcelona		93 444 74 37
DONNA		Revista			Redactor/a jefe/a												
DOSSIER EMPRESARIAL		Revista			Jefe/a de sección					Dossier Empresarial		Orense, 16 - 3D	28020	Madrid	Madrid		91 770 13 93
DOVE MAGAZINE		Revista			Redactor/a					RCS MediaGroup S.p.A.		via Angelo Rizzoli, 8	20132	Italia	Milano		02.50.95.68.32
DRACVISIÓ		TV			Corresponsal					Canal Català - Girona Pla		Carrer Pare Claret , 2 Entresol A	17820	Girona	Banyoles		97 258 11 12
DT		Revista			Coordinador /a					MC Ediciones, S.A.		C/Orense Nº11	28020	Madrid	Madrid		91 279 67 72 (ext. 2079)
DTLUX.COM		Internet medio digital			Editor/a					MC Ediciones, S.A.		C/Orense Nº11	28020	Madrid	Madrid		91 279 67 72 
EASTERN AIRWAYS MAGAZINE		Revista			Delegado/a de public./editorial					Eastern Airways				Reino Unido	Durham		0044 19 1383 2838
EASYJET TRAVELLER MAGAZINE		Revista			Redactor/a									Reino Unido	London		0044 20 7613 8777
ECCUS		Revista			Redactor/a							 Odonell, 32, 1ª	28009	Madrid	Madrid		91 533 50 23
ECO VIAJES		Internet portal temático			Redacción									Madrid	Madrid		91 234 37 65
ECOMOVE.ES		Internet portal temático			Director /a									Madrid	Madrid		914 31 21 06
ECONOMÍA DIGITAL		Internet portal temático			Coordinador/a de redacción					Economía Digital S.L.		Rambla Catalunya 98, 7º 1ª	8008	Barcelona	Barcelona		93 488 12 66
ECUESTRE		Revista			Redactor/a							 Albasanz, 15 Edif. A. 	28037	Madrid	Madrid		91 436 98 00
EFE		Agencia de noticias			Delegado/a regional					Agencia EFE				Girona	Girona		
EFE TV CATALUNYA		Agencia de noticias			Redactor/a					Agencia EFE		Roc Boronat 127, 1ª Planta	8018	Barcelona	Barcelona		93 484 38 01
EL 9 ESPORTIU		Prensa diaria			Director/a					CECM SL.		Tàpies, 2. 	8001	Barcelona	Barcelona		93 227 66 00.
EL COMIDISTA (blog gastronómico)		Blog			Periodista Blogger					EDICIONES EL PAÍS, S.L.		Miguel Yuste 40	28037	Madrid	Madrid		91 337 82 00
EL CONFIDENCIAL		Internet portal temático			Redactor/a jefe/a					Titania Compañía Editorial, S.L.		Virgilio nº25 - 1º A/D	28223	Madrid	Pozuelo de Alarcón		91 376 86 77
EL DUENDE		Revista			Subdirector /a							De la Flora, 2	28013	Madrid	Madrid		91 364 46 88
EL ECONOMISTA		Prensa diaria			Freelance					EDITORIAL ECOPRENSA S.A.							
EL EMPRESARIO		Revista			Director/a					Cepyme		Diego de León, 56 1ºH	28006	Madrid	Madrid	91 411 61 61	91 187 75 37 
EL HUFFINGTON POST		Internet medio digital			Director/a					Prisa Noticias S.L.U.		 Miguel Yuste, 40	28037	Madrid	Madrid		91 337 82 00
EL MUNDO		Prensa diaria			Corresponsal					Unidad Editorial Información General S.L.U.				Girona	Girona		
EL MUNDO DE TU BEBÉ		Internet portal temático			Publicidad									Madrid	Madrid		915106600
EL MUNDO DEPORTIVO		Prensa diaria			Redactor/a					El Mundo Deportivo, S.A.				Barcelona	Barcelona		
EL MUNDO.ES		Internet medio digital				Madrid				Unidad Editorial Información General S.L.U.							
EL NORTE DE CASTILLA		Prensa diaria			Redactor/a							Vázquez de Menchaca, 10 (Polígono de Argales)	47008	Valladolid	Valladolid		983 41 21 00 (ext. 218)
EL NOTICIERO DIGITAL		Internet medio digital			Redactor/a jefe/a					El Noticiero Digital				Málaga		95 256 26 02	95 256  22 54
EL PAÍS		Prensa diaria			Freelance					EDICIONES EL PAÍS, S.L.		Miguel Yuste,42	28037	Madrid	Madrid		91 337 82 00
EL PAIS SEMANAL		Suplementos			Freelance					EDICIONES EL PAÍS, S.L.							
EL PERIÓDICO DE CATALUNYA		Prensa diaria			Corresponsal					Ediciones Primera Plana S.A.				Girona	Girona		
EL PERIÓDICO DE LA FARMACIA		Revista profesional		Capitán Haya 60	Editor/a	Madrid				Grupo Saned							
EL PERIÓDICO DEL MEDITERRÁNEO		Prensa diaria			Redactor/a					PROMOCIONES Y EDICIONES CULTURALES S.A		Cr Almazora s/n	12005	Castellón	Castellón		96 434 95 00
EL PLA B (BTV)		TV			Presentador/a					Informació i Comunicació de Barcelona S.A. (ICB)		Plaça Tísner 1	8018	Barcelona	Barcelona	93 506 42 00	93 218 46 48
EL PUNT AVUI		Prensa diaria			Coordinador/a					HERMES COMUNICACIONS S.A		Tàpies, 2	8001	Barcelona	Barcelona	93 227 66 00	93 316 39 00 
ELECONOMISTA.ES		Internet medio digital			Coordinador/a					EDITORIAL ECOPRENSA S.A.		Condesa de Venadito 1, 3º	28027	Madrid	Madrid		91 324 67 00
ELITE TRAVELER MAGAZINE		Revista			Redactor/a					Elite Traveler		708 Third Avenue, 10th Floor	NY 10017	USA	New York		646-430-7900
ELLE		Revista			Director /a					Hearst Magazines S.L.		Avda. Cardenal Herrera Oria, 3	28034	Madrid	Madrid		917287000
ELLE.ES		Internet medio digital			Freelance					Hearst Magazines S.L.		Av. Cardenal Herrera Oria, 3	28034	Madrid	Madrid		917 287 000
ELPERIODICO.COM		Internet medio digital		8009	Consell de Cent, 425-427	Barcelona				Ediciones Primera Plana S.A.							
ELPERIODICONAUTICO.COM		Internet portal temático			Redactor/a												
ELS MATINS (TV3)		TV			Coordinador/a					Televisió de Catalunya, S.A. 		Carrer de Jacint Verdaguer 0	8970	Barcelona	Barcelona		93 499 93 33
EMBARAZO SANO		Revista			Redacción							Príncipe de Vergara, 109 2ª	28002	Madrid	Madrid		91 447 12 02
EMBARCACIONES NEUMÁTICAS		Revista			Director /a							Consell de Cent, 398, bajos	8009	Barcelona	Barcelona		933180101
EMPRENDEDORES		Revista			Redactor/a					Hearst Magazines S.L.		Avda. Cardenal Herrera Oria,3	28034	Madrid	Madrid		91 728 70 00
Enfemenino.com		Internet medio digital															
Enfemenino.com		Internet medio digital															
Enfemenino.com		Internet medio digital															
Enfemenino.com		Internet portal temático			Redactor/a									Madrid	Madrid		915 140 640
ENFEMENINO.COM		Internet portal temático			Redactor/a jefe/a									Madrid	Madrid		91 514 06 40
ENFEMENINO:COM		Internet medio digital															
EPICUR MAGAZINE		Revista			Director/a					Selecpicur, S.L.		Edif. Octàvia, Vallespir 19, 2ª Planta	8173	Barcelona	Sant Cugat del Vallès		93 587 85 38
ESCLETXES (BTV)		TV			Director/a					Informació i Comunicació de Barcelona S.A. (ICB)		Plaça Tísner 1	8018	Barcelona	Barcelona	93 506 42 00	93 218 46 48 
ES-ESTILOS DE VIDA		Suplementos			Director/a					La Vanguardia Ediciones S.L.		Avda. Diagonal 477, 7º	8036	Barcelona	Barcelona		93 481 22 00
ESFORÇ PUBLICACIONS		Revista			Director /a												93 689 14 35
ESGUARD		Revista			Editor/a												97 318 64 00
ESPAI TERRA (TV3)		TV			Redactor/a					Televisió de Catalunya, S.A. 		Carrer de Jacint Verdaguer 0	8970	Barcelona	Sant Joan Despí		93 499 93 33
ESQUIRE		Revista			Delegado/a de public./editorial					SPAIN MEDIA MAGAZINES		 Doctor Fourquet 3	28012	Madrid	Madrid		91 206 10 40
ESQUIRE.ES		Internet medio digital			CM					SPAIN MEDIA MAGAZINES		 Doctor Fourquet, 3	28012	Madrid	Madrid		91 206 10 40
ESRADIO		Radio			Productor/a												
ESTAR BIEN		Revista profesional		28002	Suero de Quiñones, 34. 1ª Planta	Madrid				Contenidos e Información de Salud S.L.							
Estelepatia.com		Blog															
Estelepatia.com		Blog			Blogger												
EstherYSuMundo		Blog															
EstherYSuMundo		Blog			Blogger												
EstiloyModa.com		Internet portal temático			Redactor/a jefe/a												91 638 92 95
EUROPA MAGAZINE		Revista			Director/a Adjunto/a					Prisa Revistas		Valentín Beato, 48  3ª Planta	28037	Madrid	Madrid		91 538 61 04
EUROPA PRESS		Agencia de noticias			Corresponsal					EUROPA PRESS				Girona	Girona		
EVASIÓN		Revista			DIRECTOR EDITORIAL									Barcelona	Barcelona		937343064
EVENTOPLUS.COM		Internet portal temático															
EVENTS MAGAZINE		Revista profesional			Redacción					Werbe- und Verlags-Gesellschaft Ruppert mbH		Emil-Hoffmann-Straße 13	D-50996	Alemania	Köln		0049 22 36 33 66 10
EXCLUSIVE (EL PERIÓDICO)		Suplementos			Delegado/a de public./editorial					Ediciones Primera Plana S.A.							
EXHIBITING MAGAZINE		Revista			Editor/a					Mash Media Group Ltd		4th Floor Sterling House, 6-10 St Georges Road	SW19 4DP	Reino Unido	London		0044 20 8971 8282
EXHIBITION NEWS		Revista profesional			Redactor/a					Mash Media Group Ltd		4th Floor Sterling House, 6-10 St Georges Road	SW19 4DP	Reino Unido	London		0044 20 8971 8282
EXPANSIÓN		Prensa diaria			Corresponsal					Unidad Editorial Información Económica, S.L.							91 443 50 00
EXPERTOS EN ESTÉTICA		Revista			Redactor/a jefe/a							 Fuentelviejo, 40	28022	Madrid	Madrid		91 747 80 00
EXPOCULTUR		Revista			Redactor/a									Madrid	Madrid		91 663 70 07
EXPOVISIE		Revista profesional			Redactor/a					Het Portaal Uitgevers B.V.		Veerdijk 40-I	1531 MS	Holanda	Wormer		003175 647 57 47
EXPRESS HOSPITALITY		Revista profesional			Redacción					The Indian Express Ltd		Business Publications Division, 1st Floor, Express Towers, Nariman Point	400 021	India	Mumbai		022 - 67440000/ 22022627
FAMILIA (ABC) 		Suplementos			Coordinador/a							 Avda. San Luis,25	28033	Madrid	Madrid		913399000
FARMACIA PROFESIONAL		Revista profesional			Redactor/a					Elsevier				Barcelona	Barcelona		93 200 07 11
Fashion&Sport watch		Revista			Jefe/a de sección									Madrid	Madrid		913774640
FASHIONFANATICOS.COM		Internet portal temático															
Fashionsalade.com		Internet portal temático			Director /a												
FEDER PESCAMAR		Revista			Redactor/a jefe/a							Moià, 1, 2a Planta	8006	Barcelona	Barcelona		91 662 21 37
FEDERCAZA		Revista								Editorial Grupo V		Valportillo Primera, nº 11	28108	Madrid	Alcobendas		91 662 21 37
FHM		Revista			Delegado/a de public./editorial					MC Ediciones, S.A.		Orense, 11	28020	Madrid	Madrid		91 597 30 90
FHM.ES		Internet medio digital			Delegado/a de public./editorial					MC Ediciones, S.A.		Orense, 11	28020	Madrid	Madrid		91 5973090
FIERE, CONGRESSI & RELAX		Revista profesional			Redactor/a					Fieri, Congresse & Relax				Italia			+39 0541 623690
FINANCIAL DIRECTOR		Revista profesional			Director del grupo de publicación					Incisive Media Investments Limited 2013		Haymarket House, 28-29 Haymarket	SW1Y 4RX	Reino Unido	London		0044 20 7316 9608
FINISHER		Revista			Redactor/a jefe/a									Madrid	Madrid		91 315 16 16
FONDEAR		Internet portal temático			Redacción									Madrid	Madrid		916 319 190
FORO-OVERLAND		Blog			Redactor/a												622851215
FUERA DE SERIE		Suplementos			Freelance					Unidad Editorial Información Económica, S.L.				Madrid	Madrid		91 443 65 19
GACETA UNIVERSITARIA		Revista			Redactor/a										Madrid		91 443 65 51
GADGET		Revista			Editor/a					Editorial Grupo V		Valportillo Primera, nº 11	28108	Madrid	Alcobendas		91 662 21 37
Gadgetos		Internet portal temático			Redacción												
GafasAmarillas.com		Blog															
GENTE VIAJERA (ONDA CERO)		Radio			Director/a					Onda Cero, S.A.U.		Rambla 88-94, 4ª Planta	8036	Barcelona	Barcelona		93 343 54 20
GENTESINGLE		Internet portal temático			Director/a							Rambla de Catalunya 80	8008	Barcelona	Barcelona		609701368
GENTLEMAN		Revista			Freelance					Prisa Revistas		Valentín Beato 48, 3ª planta. 	28037	Madrid	Madrid		
GEO		Revista			Director /a					GyJ España Ediciones, S.L.,S. en C.,		Albasanz, 15, Edificio A. 	28037	Madrid	Madrid		914369800
GLAMOUR		Revista			Coordinador /a					Ediciones Condé Nast, S.A		Pº de la Castellana, 9-11, 2º	28046	Madrid	Madrid		918290860
GLAMOUR.ES		Internet medio digital			Editor/a					Conde Nast Digital		Pº de la Castellana, 9-11, 2º	28046	Madrid	Madrid		91 7004170
GO MAGAZINE		Revista			Redactor/a					AirTran Airways		68 Jay Street, Suite 315, Brooklyn	NY 11201	New York	USA		347 294 1220
GOLD&TIME MAGAZINE		Revista profesional			Redactor/a jefe/a					NEXO EDITORES SA		Lope de Vega 13	28014	Madrid	Madrid		91 369 41 00
GOLF ANDALUZ		Revista			Redacción												902500886
GOLF DIGEST		Revista			Publicidad							Avda. San Luis, 25	28033	Madrid	Madrid		91 443 50 00
GOLF PLAYER		Revista			Director /a									Madrid	Madrid		91 561 01 71
GOURMET TRAVELLERS		Revista			Coordinador /a												(+65) 6737 3008
GOURMET`S		Revista			Redactor/a jefe/a									Barcelona	Barcelona		93 484 82 66
GQ		Revista			Coordinador /a					Ediciones Condé Nast, S.A		Pº de la Castellana, 9-11, 2º	28046	Madrid	Madrid		91 700 41 70
GQ.COM		Internet medio digital			Director /a					Condé Nast Digital		 Pº de la Castellana, 9-11, 2º	28046	Madrid	Madrid		91 700 41 70
GRÀCIA TV		TV			Redactor/a					Informació i Comunicació de Barcelona S.A. (ICB)		Plaça Tísner 1	8018	Barcelona	Barcelona	93 506 42 00	93 218 46 48 
GRAN HOTEL & TURISMO		Revista			Redactor/a jefe/a					Curt Ediciones, SA							93 318 01 01
GRANDES ESPACIOS		Revista			Redactor/a jefe/a					Ediciones Desnivel SL.				Madrid	Madrid		91 360 22 47
GRAZIA		Revista			Director /a					PRISMA PUBLICACIONES		C/Josefa Valcárcel, 42 - 3º	28027	Madrid	Madrid	91 4230391	91 563 03 69
GRAZIA.ES		Internet medio digital			CM					PRISMA PUBLICACIONES		C/Josefa Valcárcel, 42 - 3º	28027	Madrid	Madrid		91 563 03 69
Grup Flaix		Radio			Jefe/a de Informativos					Grup Flaix S.L.		Passeig de Gràcia 55, 9ª Planta	8007	Barcelona	Barcelona		93 505 55 55
GUÍA DEL NIÑO		Revista			Redactor/a					Guia del niño S.L. 		Alcalá, 106. 2.ª planta	8009	Madrid	Madrid		91 431 60 80
GUIA DEL OCIO BCN		Revista			Freelance					Taznia Media S.L				Barcelona	Barcelona		93 418 50 05
HARPER'S BAZAAR		Revista			Delegado/a de public./editorial					SPAIN MEDIA MAGAZINES		 Doctor Fourquet 3	28012	Madrid	Madrid		91 206 10 40
HARPERSBAZAAR.ES		Internet medio digital			Redactor/a					SPAIN MEDIA MAGAZINES		 Doctor Fourquet, 3	28012	Madrid	Madrid		912064044
HEADQUARTERS MAGAZINE		Revista profesional			Redacción					Meeting Media Company		59, rue René Declercq	B-1150	Bélgica	Brussels		0032 2 761 70 50 
HESTAR.COM		Internet medio digital															
HIGH LIFE		Revista			Redactor/a					British Airways Media		85 Strand	WC2R 0DW	Reino Unido	London		0044 20 7550 8100
HOLA		Revista			Freelance					Hola S.L.		Velázquez, 98	28006	Madrid	Madrid		
HOLA ESPECIAL COCINA		Suplementos			Coordinador /a					Hola S.L.		Velázquez, 98	28006	Madrid	Madrid		917021342
HOLA.COM		Internet medio digital			Redactor/a					Hola S.L.							91 702 13 00
Hombre10		Blog															
HOMOGASTRONOMICUS		Blog			Periodista Blogger					Homogastronomicus							
HORECA REVUE		Revista profesional			Redactor/a					Horeca		Vlasstraat 17	8710	Bélgica	Wielsbeke		0032 56 60 73 33
HOSPITALITY INSIDE		Revista profesional			Asistente de redacción					hospitalityInside GmbH		Paul-Lincke-Strasse 20	D-86199	Alemania	Augsburg		49 - 821 - 99 56 56
HOSPITALITY ON		Revista profesional			Redacción					Hospitality ON / Alcyon		5 rue de Dantzig		Francia	Paris		0033 1 56 56 87 87
HOSTELTUR		Revista profesional			Redactor/a												91 802 41 40
HOY CORAZON		Revista			Redactor/a jefe/a							JUAN IGNACIO LUCA DE TENA, 6, 3ª	28027	Madrid	Madrid		913 421 400
ICJ MICE MAGAZINE		Revista profesional			Redactor/a jefe/a					EC Incentive-, Marketing- und Consulting GmbH		Keltenring 22	85658	Alemania	Egmating		49(0) 8095 / 87 26 0
IDEAS+TELETODO		Suplementos			Redactor/a									Barcelona	Barcelona		932655353
IL GIORNALE DEL TURISMO		Revista profesional			Redactor/a jefe/a					Edizioni Progecta Srl		Via Largo Luigi Antonelli  14	145	Italia	Roma		0039 334.5031331
IMAGEN & BELLEZA		Revista			Coordinador /a							Calle Berlín, duplicado B	28028	Madrid	Madrid		91 726 91 82 
INCENTIVE & MOTIVATION		Revista profesional			Redactor/a					Incentive & Motivation				Reino Unido	London		0044 16 04 630798
INCENTIVE CONGRESS JOURNAL		Revista profesional			Redacción					EC Incentive-, Marketing- und Consulting GmbH		Keltenring 22	85658	Alemania	Egmating		49-8095) 87260
INFLIGHT MAGAZINE		Revista			Redacción					South East Asian Airlines		4th floor, Le Rose Building, 832 Edades Street corner Arnaiz Avenue, Legaspi Village		Filipinas	Makati City		
INFOFRANQUICIAS.COM		Internet portal temático			Redactor/a					Franchise & Retail Services Group		Vía Augusta 246	8021	Barcelona	Barcelona		902 401 122
INFONOMIA.TV		TV			Redacción					Zero Factory S.L.		C/Valencia 213, 1o 2a	8007	Barcelona	Barcelona		93 224 01 50
INFORMATIUS (BTV)		TV			Redacción					Informació i Comunicació de Barcelona S.A. (ICB)		Plaça Tísner 1	8018	Barcelona	Barcelona		93 218 46 48 - 93 506 42 00
INFORMATIVOS ANTENA 3 TV		TV			Coordinador/a					AtresMedia Televisión				Barcelona	Barcelona		93 480 94 07
INFORMATIVOS.NET		Internet portal temático			Fotógrafo					Informativos.Net							93 795 71 96
INSTYLE		Revista			Editor/a					RBA Revistas SL		López de Hoyos, 141, 1ª planta	28002	Madrid	Madrid		91 510 66 00
INTEGRAL		Revista			Director/a												932541250
INTEREMPRESAS		Revista profesional			Redactor/a					Nova Àgora, S.L.		Amadeu Vives, 20-22	8750	Barcelona	Molins de Rei		93 680 20 27
INTERIORES		Revista			Director/a					PRISMA PUBLICACIONES							93 492 68 68
INTERPRESS TURISM 		Revista profesional			Redactor/a					Interpress Tourism				Rumanía			0040 21 3129563
INTROVERSION		Revista			Redactor/a jefe/a							P.I. Can Boixadera, Local D Superior	8440	Barcelona	Cardedeu		93 871 35 10
IP MARK BARCELONA		Revista			Redactor/a												626 547 780
IT MAGAZINE		Revista			Redacción					Ediman srl 		Via Ripamonti, 89	20141	Italia	Milano		0039 02 57311511 
ITCM		Revista profesional			Director/a					Incentive Travel & Corporate Meetings		Bay Tree, 19-20 Beanacre, Melksham	SN12 7PT	Reino Unido	Wiltshire		0044 11 8973 5993
JARA y SEDAL		Revista			Director /a									Madrid	Madrid		913 277 950
Javitoandcool		Blog															
Javitoandcool		Blog			Blogger												
JO QUÉ SÉ (BTV)		TV			Director/a					Informació i Comunicació de Barcelona S.A. (ICB)		Plaça Tísner 1	8018	Barcelona	Barcelona		93 218 46 48 - 93 506 42 00
JOURNAL DES PALACES		Revista profesional			Director/a					Internet Presse Infos		46, rue de la Paix	F-10000	Francia	Troyes		0033 325 82 87 90
JOYA Moda		Revista			Coordinador /a					EDIMODA		 Jorge Juan, 68 . 5º 8	28009	Madrid	Madrid		91 551 91 97
JOYCE ESPAÑA		Revista			Redactor/a							Almirante, 15 – 1º izda.	28004	Madrid	Madrid		91 593 26 96
KINIRO MAGAZINE		Revista			Director /a												
KONGRES MAGAZINE		Revista profesional			Redactor/a jefe/a					Kongres Magazine				Eslovenia			
LA CARTELLERA (BTV)		TV			Coordinador/a					Informació i Comunicació de Barcelona S.A. (ICB)		Plaça Tísner 1	8018	Barcelona	Barcelona	93 506 42 00	93 218 46 48 
LA CAZA Y SU MUNDO		Revista			Director /a									Madrid	Madrid		915 061 768
LA GACETA		Prensa diaria			Redactor/a jefe/a					Intereconomía Corporación, SA		Paseo de La Castellana 36-38	28046	Madrid	Madrid		902 996 556
LA LUNA DE METRÓPOLI		Suplementos			Redactor/a					Unidad Editorial Información General S.L.U.		Avda. San Luis,25	28033	Madrid	Madrid		914436658
LA NIT A RAC1 		Radio			Productor/a					Radiocat XXI, SL		Diagonal 477, 15ª Planta	8036	Barcelona	Barcelona		93 270 44 00
LA NOCHE DE LA COPE		Radio			Director/a					Radio Popular S.A.		 Calle de Alfonso XI, 4	28014	Madrid			
LA RAMBLA (BTV)		TV			Presentador/a					Informació i Comunicació de Barcelona S.A. (ICB)		Plaça Tísner 1	8018	Barcelona	Barcelona	93 506 42 00	93 218 46 48 
LA RAZÓN		Prensa diaria			Director/a					AUDIOVISUAL ESPAÑOLA 2000 S.A.		Josefa Valcárcel 42	28027	Madrid	Madrid		91 324 70 00
LA TORRE DE BABEL		Radio			Director/a					Radio Kanal Barcelona		Gran Via de les Corts Catalanes 645, 2º 1ª	8008	Barcelona	Barcelona	93 342 72 20	93 468 55 55
LA TRIBUNA DE AUTOMOCIÓN		Internet portal temático			Redactor/a												647452296
LA VANGUARDIA		Prensa diaria								La Vanguardia Ediciones S.L.							
LA VANGUARDIA		Prensa diaria			Jefe/a de sección					La Vanguardia Ediciones S.L.		Avda. Diagonal 477, 7º	8036	Barcelona	Barcelona		
LA XARXA		Radio			Coordinador/a					Xarxa Audiovisual Local (XAL)		Travessera de les Corts 131-159, Pavelló Cambó, Recinte Maternitat	8028	Barcelona	Barcelona		93 508 06 00
L'ACCENT		Revista			Coordinador/a					L'Accent							
LADYGOLF.ES		Internet portal temático			Redactor/a					Mulligan , S.L.		Avda. Manel Girona, 68, local 2.	8860	Barcelona	Castelldefels		93 636 41 16
LAMONO		Revista			Director /a							C/Aribau, 15 1º 1ª	8011	Barcelona	Barcelona		93 272 49 81
LaOtraHormaDelZapato		Blog															
Las aventuras de 1 madre primeriza (ABC)		Blog			Blogger												
LAS PROVINCIAS		Prensa diaria			Subdirector /a					Valenciana Editorial Interactiva S.L				Valencia			96 350 22 11
LAS ROZAS FUSIÓN		Revista	Local	Mensual	Director /a							 Almendros, 20. Majadahonda	28221	Madrid	Madrid		91 544 15 50
LATITUDES LIFE		Revista profesional			Coordinador/a					Latitudes srl				Italia			0039 02 365 11073
LAVANGUARDIA.com		Internet medio digital		8036	Avda. Diagonal 477, 7º	Barcelona				INICIATIVAS DIGITAL MEDIA, S.L.							
L'AVENÇ		Revista			Subdirector /a					L'Avenç S.L.		Passeig de Sant Joan 26, 2º 1ª	8010	Barcelona	Barcelona		93 245 79 21
Le City Deluxe 		Revista			Redactor/a										Barcelona		934814342 / 93 368 38 68 
L'ECHO TOURISTIQUE		Revista profesional			Redactor/a jefe/a					Infopro Digital		Antony Parc 2, 10 Place du Général de Gaulle	BP 20156 - 92 186	Francia	Cedex		0033 1 77 92 97 35 
L'ECONÒMIC		Suplementos			Redacción					HERMES COMUNICACIONS S.A		Tàpies, 2	8001	Barcelona	Barcelona	93 227 66 00	93 316 39 00 
LECTURAS		Revista			Redactor/a					RBA Revistas SL		C/Pérez Galdós,  36 	8012	Barcelona	Barcelona		93 415 73 74
L'EVENEMENTIEL		Revista profesional			Redacción					L’ÉVÉNEMENTIEL				Francia	Paris		0033 1 46 96 43 85 
LIFESTYLE		Suplementos			Redactor/a jefe/a					AUDIOVISUAL ESPAÑOLA 2000 S.A.		Calaf, 24, 2º-2a	8021	Barcelona	Barcelona		932008266
L'INDEPENDENT DE GRÀCIA		Prensa diaria			Redactor/a					ACPG (Premsa Gratuïta i Mitjans Digitals)		Carrer La Perla 30	8012	Barcelona	Barcelona		93 217 44 10
LING		Revista			Redactor/a jefe/a										Barcelona		93 534 58 88
L-INK		Revista			Freelance							 Fernando VI 11 -1º D	28004	Madrid	Madrid		91 702 41 78
LivingShoes		Blog															
LO M+S		Revista			Redactor/a jefe/a					Revista lo Mas (Garraf y Baix Llobregat)							93 516 84 90
LONELY PLANET REVISTA		Revista			Publicidad					geoPlaneta		Avda. Diagonal, 662 Barcelona	8034	Barcelona	Barcelona		93 270 45 50
LOVE		Revista			Jefe/a de sección					Editorial Grupo V		 Valportillo Primera, nº 11	28108	Madrid	Alcobendas		911416938
